Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region,Brand Segment,Brand Country
C_CND_000001,2022-01-02,Geraldine,Male,9.510519035757246,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Double Overhead Camshaft,Auto,Black,10.165890277802454,06457-3834,SUV,8264678,Middletown,Midrange,USA
C_CND_000002,2022-01-02,Gia,Male,14.207553321415745,C & M Motors Inc,Dodge,Durango,Double Overhead Camshaft,Auto,Black,9.852246888342531,60504-7114,SUV,6848189,Aurora,Midrange,USA
C_CND_000003,2022-01-02,Gianna,Male,13.849912950864715,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,10.357774570341576,38701-8047,Passenger,7298798,Greenville,Luxury,USA
C_CND_000004,2022-01-02,Giselle,Male,9.510519035757246,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,Pale White,9.546884034617925,99301-3882,SUV,6257557,Pasco,Economy,Japan
C_CND_000005,2022-01-02,Grace,Male,14.19736648302693,Chrysler Plymouth,Acura,TL,Double Overhead Camshaft,Auto,Red,10.106469212026385,53546-9427,Hatchback,7081483,Janesville,Luxury,Japan
C_CND_000008,2022-01-02,Graham,Male,9.510519035757246,U-Haul CO,Mitsubishi,Galant,Double Overhead Camshaft,Auto,Pale White,10.645448706505872,78758-7841,Passenger,6206512,Austin,Economy,Japan
C_CND_000010,2022-01-02,Grayson,Female,9.510519035757246,Rabun Used Car Sales,Ford,Escort,Double Overhead Camshaft,Auto,Pale White,9.61587214452889,85257-3102,Passenger,7836892,Scottsdale,Midrange,USA
C_CND_000011,2022-01-02,Gregory,Male,9.510519035757246,Race Car Help,Acura,RL,Overhead Camshaft,Manual,Pale White,10.34177474101152,78758-7841,SUV,7995489,Austin,Luxury,Japan
C_CND_000012,2022-01-02,Amar'E,Male,9.510519035757246,Race Car Help,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,10.736418414365376,78758-7841,Hardtop,7288103,Pasco,Economy,Japan
C_CND_000013,2022-01-02,Griffin,Male,13.69334405393293,Saab-Belle Dodge,Mercury,Grand Marquis,Double Overhead Camshaft,Auto,Black,9.105090961257085,60504-7114,SUV,6842408,Aurora,Midrange,USA
C_CND_000014,2022-01-02,Harrison,Male,9.510519035757246,Scrivener Performance Engineering,BMW,323i,Double Overhead Camshaft,Auto,Pale White,9.61587214452889,38701-8047,Hatchback,7558767,Greenville,Luxury,Germany
C_CND_000015,2022-01-02,Zainab,Male,13.489781802915555,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,10.165890277802454,06457-3834,Sedan,7677191,Middletown,Midrange,USA
C_CND_000016,2022-01-02,Zara,Male,13.522482219667573,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,9.741027444837728,60504-7114,Hatchback,8431908,Aurora,Midrange,Japan
C_CND_000017,2022-01-02,Zoe,Female,13.190023895035274,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Manual,Black,9.798182590890704,38701-8047,Hatchback,7814646,Greenville,Economy,South Korea
C_CND_000018,2022-01-02,Zoey,Female,13.25339339419516,Chrysler of Tri-Cities,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Pale White,10.34177474101152,99301-3882,Passenger,7456650,Pasco,Luxury,USA
